180,result\model\test\resizeImg90.jpg,97,206,52,205,Mon Jan 12 21:25:30 2015
150,result\model\test\resizeImg90.jpg,71,206,155,216,Mon Jan 12 21:26:33 2015
135,result\model\test\resizeImg90.jpg,85,211,226,213,Mon Jan 12 21:26:57 2015
120,result\model\test\resizeImg90.jpg,128,212,322,214,Mon Jan 12 21:27:15 2015
105,result\model\test\resizeImg90.jpg,180,211,409,206,Mon Jan 12 21:27:30 2015
90,result\model\test\resizeImg90.jpg,256,211,476,205,Mon Jan 12 21:27:46 2015
75,result\model\test\resizeImg90.jpg,318,214,515,204,Mon Jan 12 21:28:08 2015
60,result\model\test\resizeImg90.jpg,391,211,539,201,Mon Jan 12 21:28:19 2015
45,result\model\test\resizeImg90.jpg,443,208,536,195,Mon Jan 12 21:28:34 2015
30,result\model\test\resizeImg90.jpg,473,214,509,196,Mon Jan 12 21:28:45 2015
15,result\model\test\resizeImg90.jpg,502,209,483,220,Mon Jan 12 21:29:13 2015
0,result\model\test\resizeImg90.jpg,484,217,522,216,Mon Jan 12 21:29:23 2015
